n,N,m,M,Class
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",I
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 1, 1, 1, 1)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 1, 0, 1, 1, 1)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 1, 1, 0, 1, 1)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 1, 1, 1, 0, 1)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 1, 1, 1, 1, 0)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(1, 0, 0, 1, 1, 1)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(1, 0, 1, 0, 1, 1)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(1, 0, 1, 1, 0, 1)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(1, 0, 1, 1, 1, 0)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(1, 1, 0, 0, 1, 1)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(1, 1, 0, 1, 0, 1)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(1, 1, 0, 1, 1, 0)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(1, 1, 1, 0, 0, 1)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(1, 1, 1, 0, 1, 0)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(1, 1, 1, 1, 0, 0)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1)","(0, 0, 0, 0, 0, 1)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1)","(0, 0, 0, 0, 1, 0)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1)","(0, 0, 0, 1, 0, 0)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1)","(0, 0, 1, 0, 0, 0)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1)","(0, 1, 0, 0, 0, 0)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1)","(0, 1, 1, 1, 1, 1)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1)","(1, 0, 0, 0, 0, 0)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1)","(1, 0, 1, 1, 1, 1)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1)","(1, 1, 0, 1, 1, 1)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1)","(1, 1, 1, 0, 1, 1)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1)","(1, 1, 1, 1, 0, 1)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1)","(1, 1, 1, 1, 1, 0)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 1, 0)","(0, 0, 0, 0, 0, 1)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 1, 0)","(0, 0, 0, 0, 1, 0)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 1, 0)","(0, 0, 0, 1, 0, 0)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 1, 0)","(0, 0, 1, 0, 0, 0)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 1, 0)","(0, 1, 0, 0, 0, 0)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 1, 0)","(0, 1, 1, 1, 1, 1)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 1, 0)","(1, 0, 0, 0, 0, 0)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 1, 0)","(1, 0, 1, 1, 1, 1)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 1, 0)","(1, 1, 0, 1, 1, 1)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 1, 0)","(1, 1, 1, 0, 1, 1)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 1, 0)","(1, 1, 1, 1, 0, 1)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 1, 0)","(1, 1, 1, 1, 1, 0)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 1)","(0, 0, 0, 0, 0, 1)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 1)","(0, 0, 0, 0, 1, 0)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 1)","(0, 0, 0, 1, 0, 0)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 1)","(0, 0, 1, 0, 0, 0)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 1)","(0, 1, 0, 0, 0, 0)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 1)","(0, 1, 1, 1, 1, 1)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 1)","(1, 0, 0, 0, 0, 0)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 1)","(1, 0, 1, 1, 1, 1)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 1)","(1, 1, 0, 1, 1, 1)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 1)","(1, 1, 1, 0, 1, 1)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 1)","(1, 1, 1, 1, 0, 1)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 1)","(1, 1, 1, 1, 1, 0)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(0, 0, 0, 0, 0, 1)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(0, 0, 0, 0, 1, 0)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(0, 0, 0, 1, 0, 0)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(0, 0, 1, 0, 0, 0)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(0, 1, 0, 0, 0, 0)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(0, 1, 1, 1, 1, 1)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(1, 0, 0, 0, 0, 0)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(1, 0, 1, 1, 1, 1)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(1, 1, 0, 1, 1, 1)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(1, 1, 1, 0, 1, 1)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(1, 1, 1, 1, 0, 1)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(1, 1, 1, 1, 1, 0)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1)","(0, 0, 0, 0, 1, 1)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1)","(0, 0, 0, 1, 0, 1)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1)","(0, 0, 0, 1, 1, 0)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1)","(0, 0, 1, 0, 0, 1)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1)","(0, 0, 1, 0, 1, 0)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1)","(0, 0, 1, 1, 0, 0)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1)","(0, 1, 0, 0, 0, 1)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1)","(0, 1, 0, 0, 1, 0)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1)","(0, 1, 0, 1, 0, 0)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1)","(0, 1, 1, 0, 0, 0)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1)","(1, 0, 0, 0, 0, 1)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1)","(1, 0, 0, 0, 1, 0)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1)","(1, 0, 0, 1, 0, 0)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1)","(1, 0, 1, 0, 0, 0)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1)","(1, 1, 0, 0, 0, 0)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1)","(1, 1, 1, 1, 1, 1)",I
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",III
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 0, 0, 0)","(0, 0, 1, 1, 1, 1)",III
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 0, 0, 0)","(1, 1, 0, 0, 1, 1)",VI
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 0, 0, 0)","(1, 1, 0, 1, 0, 1)",VI
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 0, 0, 0)","(1, 1, 0, 1, 1, 0)",VI
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 0, 0, 0)","(1, 1, 1, 0, 0, 1)",VI
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 0, 0, 0)","(1, 1, 1, 0, 1, 0)",VI
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 0, 0, 0)","(1, 1, 1, 1, 0, 0)",VI
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 0, 1, 1)","(0, 1, 0, 1, 1, 1)",V
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 0, 1, 1)","(0, 1, 1, 0, 1, 1)",V
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 0, 1, 1)","(0, 1, 1, 1, 0, 1)",V
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 0, 1, 1)","(0, 1, 1, 1, 1, 0)",V
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 0, 1, 1)","(1, 0, 0, 1, 1, 1)",V
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 0, 1, 1)","(1, 0, 1, 0, 1, 1)",V
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 0, 1, 1)","(1, 0, 1, 1, 0, 1)",V
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 0, 1, 1)","(1, 0, 1, 1, 1, 0)",V
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 1, 0, 1)","(0, 1, 0, 0, 0, 0)",IV
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 1, 0, 1)","(0, 1, 1, 1, 1, 1)",IV
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 1, 0, 1)","(1, 0, 0, 0, 0, 0)",IV
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 1, 0, 1)","(1, 0, 1, 1, 1, 1)",IV
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 1, 1, 0)","(0, 1, 0, 0, 0, 0)",IV
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 1, 1, 0)","(0, 1, 1, 1, 1, 1)",IV
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 1, 1, 0)","(1, 0, 0, 0, 0, 0)",IV
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 1, 1, 0)","(1, 0, 1, 1, 1, 1)",IV
"(0, 0)","(0, 0, 1, 1, 1, 1)","(1, 0, 0, 1)","(0, 1, 0, 0, 0, 0)",IV
"(0, 0)","(0, 0, 1, 1, 1, 1)","(1, 0, 0, 1)","(0, 1, 1, 1, 1, 1)",IV
"(0, 0)","(0, 0, 1, 1, 1, 1)","(1, 0, 0, 1)","(1, 0, 0, 0, 0, 0)",IV
"(0, 0)","(0, 0, 1, 1, 1, 1)","(1, 0, 0, 1)","(1, 0, 1, 1, 1, 1)",IV
"(0, 0)","(0, 0, 1, 1, 1, 1)","(1, 0, 1, 0)","(0, 1, 0, 0, 0, 0)",IV
"(0, 0)","(0, 0, 1, 1, 1, 1)","(1, 0, 1, 0)","(0, 1, 1, 1, 1, 1)",IV
"(0, 0)","(0, 0, 1, 1, 1, 1)","(1, 0, 1, 0)","(1, 0, 0, 0, 0, 0)",IV
"(0, 0)","(0, 0, 1, 1, 1, 1)","(1, 0, 1, 0)","(1, 0, 1, 1, 1, 1)",IV
"(0, 0)","(0, 0, 1, 1, 1, 1)","(1, 1, 0, 0)","(0, 1, 0, 0, 0, 1)",V
"(0, 0)","(0, 0, 1, 1, 1, 1)","(1, 1, 0, 0)","(0, 1, 0, 0, 1, 0)",V
"(0, 0)","(0, 0, 1, 1, 1, 1)","(1, 1, 0, 0)","(0, 1, 0, 1, 0, 0)",V
"(0, 0)","(0, 0, 1, 1, 1, 1)","(1, 1, 0, 0)","(0, 1, 1, 0, 0, 0)",V
"(0, 0)","(0, 0, 1, 1, 1, 1)","(1, 1, 0, 0)","(1, 0, 0, 0, 0, 1)",V
"(0, 0)","(0, 0, 1, 1, 1, 1)","(1, 1, 0, 0)","(1, 0, 0, 0, 1, 0)",V
"(0, 0)","(0, 0, 1, 1, 1, 1)","(1, 1, 0, 0)","(1, 0, 0, 1, 0, 0)",V
"(0, 0)","(0, 0, 1, 1, 1, 1)","(1, 1, 0, 0)","(1, 0, 1, 0, 0, 0)",V
"(0, 0)","(0, 0, 1, 1, 1, 1)","(1, 1, 1, 1)","(0, 0, 0, 0, 1, 1)",VI
"(0, 0)","(0, 0, 1, 1, 1, 1)","(1, 1, 1, 1)","(0, 0, 0, 1, 0, 1)",VI
"(0, 0)","(0, 0, 1, 1, 1, 1)","(1, 1, 1, 1)","(0, 0, 0, 1, 1, 0)",VI
"(0, 0)","(0, 0, 1, 1, 1, 1)","(1, 1, 1, 1)","(0, 0, 1, 0, 0, 1)",VI
"(0, 0)","(0, 0, 1, 1, 1, 1)","(1, 1, 1, 1)","(0, 0, 1, 0, 1, 0)",VI
"(0, 0)","(0, 0, 1, 1, 1, 1)","(1, 1, 1, 1)","(0, 0, 1, 1, 0, 0)",VI
"(0, 0)","(0, 0, 1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 0, 0, 0, 0)",III
"(0, 0)","(0, 0, 1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1, 1, 1)",III
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",III
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 0, 0, 0)","(0, 1, 0, 1, 1, 1)",III
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 0, 0, 0)","(1, 0, 1, 0, 1, 1)",VI
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 0, 0, 0)","(1, 0, 1, 1, 0, 1)",VI
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 0, 0, 0)","(1, 0, 1, 1, 1, 0)",VI
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 0, 0, 0)","(1, 1, 1, 0, 0, 1)",VI
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 0, 0, 0)","(1, 1, 1, 0, 1, 0)",VI
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 0, 0, 0)","(1, 1, 1, 1, 0, 0)",VI
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 0, 1, 1)","(0, 0, 1, 1, 1, 1)",V
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 0, 1, 1)","(0, 1, 1, 0, 1, 1)",V
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 0, 1, 1)","(0, 1, 1, 1, 0, 1)",V
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 0, 1, 1)","(0, 1, 1, 1, 1, 0)",V
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 0, 1, 1)","(1, 0, 0, 1, 1, 1)",V
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 0, 1, 1)","(1, 1, 0, 0, 1, 1)",V
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 0, 1, 1)","(1, 1, 0, 1, 0, 1)",V
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 0, 1, 1)","(1, 1, 0, 1, 1, 0)",V
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 1, 0, 1)","(0, 0, 1, 0, 0, 0)",IV
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 1, 0, 1)","(0, 1, 1, 1, 1, 1)",IV
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 1, 0, 1)","(1, 0, 0, 0, 0, 0)",IV
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 1, 0, 1)","(1, 1, 0, 1, 1, 1)",IV
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 1, 1, 0)","(0, 0, 1, 0, 0, 0)",IV
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 1, 1, 0)","(0, 1, 1, 1, 1, 1)",IV
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 1, 1, 0)","(1, 0, 0, 0, 0, 0)",IV
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 1, 1, 0)","(1, 1, 0, 1, 1, 1)",IV
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 0, 0, 1)","(0, 0, 1, 0, 0, 0)",IV
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 0, 0, 1)","(0, 1, 1, 1, 1, 1)",IV
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 0, 0, 1)","(1, 0, 0, 0, 0, 0)",IV
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 0, 0, 1)","(1, 1, 0, 1, 1, 1)",IV
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 0, 1, 0)","(0, 0, 1, 0, 0, 0)",IV
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 0, 1, 0)","(0, 1, 1, 1, 1, 1)",IV
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 0, 1, 0)","(1, 0, 0, 0, 0, 0)",IV
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 0, 1, 0)","(1, 1, 0, 1, 1, 1)",IV
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 1, 0, 0)","(0, 0, 1, 0, 0, 1)",V
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 1, 0, 0)","(0, 0, 1, 0, 1, 0)",V
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 1, 0, 0)","(0, 0, 1, 1, 0, 0)",V
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 1, 0, 0)","(0, 1, 1, 0, 0, 0)",V
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 1, 0, 0)","(1, 0, 0, 0, 0, 1)",V
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 1, 0, 0)","(1, 0, 0, 0, 1, 0)",V
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 1, 0, 0)","(1, 0, 0, 1, 0, 0)",V
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 1, 0, 0)","(1, 1, 0, 0, 0, 0)",V
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 1, 1, 1)","(0, 0, 0, 0, 1, 1)",VI
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 1, 1, 1)","(0, 0, 0, 1, 0, 1)",VI
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 1, 1, 1)","(0, 0, 0, 1, 1, 0)",VI
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 1, 1, 1)","(0, 1, 0, 0, 0, 1)",VI
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 1, 1, 1)","(0, 1, 0, 0, 1, 0)",VI
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 1, 1, 1)","(0, 1, 0, 1, 0, 0)",VI
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 1, 1, 1)","(1, 0, 1, 0, 0, 0)",III
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1, 1, 1)",III
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",III
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 0, 0, 0)","(0, 1, 1, 0, 1, 1)",III
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 0, 0, 0)","(1, 0, 0, 1, 1, 1)",VI
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 0, 0, 0)","(1, 0, 1, 1, 0, 1)",VI
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 0, 0, 0)","(1, 0, 1, 1, 1, 0)",VI
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 0, 0, 0)","(1, 1, 0, 1, 0, 1)",VI
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 0, 0, 0)","(1, 1, 0, 1, 1, 0)",VI
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 0, 0, 0)","(1, 1, 1, 1, 0, 0)",VI
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 0, 1, 1)","(0, 0, 1, 1, 1, 1)",V
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 0, 1, 1)","(0, 1, 0, 1, 1, 1)",V
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 0, 1, 1)","(0, 1, 1, 1, 0, 1)",V
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 0, 1, 1)","(0, 1, 1, 1, 1, 0)",V
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 0, 1, 1)","(1, 0, 1, 0, 1, 1)",V
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 0, 1, 1)","(1, 1, 0, 0, 1, 1)",V
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 0, 1, 1)","(1, 1, 1, 0, 0, 1)",V
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 0, 1, 1)","(1, 1, 1, 0, 1, 0)",V
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 1, 0, 1)","(0, 0, 0, 1, 0, 0)",IV
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 1, 0, 1)","(0, 1, 1, 1, 1, 1)",IV
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 1, 0, 1)","(1, 0, 0, 0, 0, 0)",IV
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 1, 0, 1)","(1, 1, 1, 0, 1, 1)",IV
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 1, 1, 0)","(0, 0, 0, 1, 0, 0)",IV
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 1, 1, 0)","(0, 1, 1, 1, 1, 1)",IV
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 1, 1, 0)","(1, 0, 0, 0, 0, 0)",IV
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 1, 1, 0)","(1, 1, 1, 0, 1, 1)",IV
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 0, 0, 1)","(0, 0, 0, 1, 0, 0)",IV
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 0, 0, 1)","(0, 1, 1, 1, 1, 1)",IV
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 0, 0, 1)","(1, 0, 0, 0, 0, 0)",IV
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 0, 0, 1)","(1, 1, 1, 0, 1, 1)",IV
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 0, 1, 0)","(0, 0, 0, 1, 0, 0)",IV
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 0, 1, 0)","(0, 1, 1, 1, 1, 1)",IV
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 0, 1, 0)","(1, 0, 0, 0, 0, 0)",IV
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 0, 1, 0)","(1, 1, 1, 0, 1, 1)",IV
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 1, 0, 0)","(0, 0, 0, 1, 0, 1)",V
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 1, 0, 0)","(0, 0, 0, 1, 1, 0)",V
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 1, 0, 0)","(0, 0, 1, 1, 0, 0)",V
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 1, 0, 0)","(0, 1, 0, 1, 0, 0)",V
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 1, 0, 0)","(1, 0, 0, 0, 0, 1)",V
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 1, 0, 0)","(1, 0, 0, 0, 1, 0)",V
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 1, 0, 0)","(1, 0, 1, 0, 0, 0)",V
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 1, 0, 0)","(1, 1, 0, 0, 0, 0)",V
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 1, 1, 1)","(0, 0, 0, 0, 1, 1)",VI
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 1, 1, 1)","(0, 0, 1, 0, 0, 1)",VI
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 1, 1, 1)","(0, 0, 1, 0, 1, 0)",VI
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 1, 1, 1)","(0, 1, 0, 0, 0, 1)",VI
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 1, 1, 1)","(0, 1, 0, 0, 1, 0)",VI
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 1, 1, 1)","(0, 1, 1, 0, 0, 0)",VI
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 1, 1, 1)","(1, 0, 0, 1, 0, 0)",III
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1, 1, 1)",III
"(0, 0)","(0, 1, 1, 1, 0, 1)","(0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",III
"(0, 0)","(0, 1, 1, 1, 0, 1)","(0, 0, 0, 0)","(0, 1, 1, 1, 0, 1)",III
"(0, 0)","(0, 1, 1, 1, 0, 1)","(0, 0, 0, 0)","(1, 0, 0, 1, 1, 1)",VI
